"No.","Time","Source","Destination","Protocol","Length","Info"
"160","11.220094","192.168.1.69","239.255.255.250","SSDP","493","NOTIFY * HTTP/1.1 "
"161","11.220094","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"162","11.220094","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"163","11.222086","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"164","11.222086","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"165","11.222086","192.168.1.69","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"166","11.292032","35.83.96.132","192.168.1.163","TLSv1.2","100","Application Data"
"167","11.319582","192.168.1.69","239.255.255.250","SSDP","435","NOTIFY * HTTP/1.1 "
"168","11.319582","192.168.1.69","239.255.255.250","SSDP","444","NOTIFY * HTTP/1.1 "
"169","11.319582","192.168.1.69","239.255.255.250","SSDP","493","NOTIFY * HTTP/1.1 "
"170","11.321570","192.168.1.69","239.255.255.250","SSDP","475","NOTIFY * HTTP/1.1 "
"171","11.321570","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"172","11.321570","192.168.1.69","239.255.255.250","SSDP","497","NOTIFY * HTTP/1.1 "
"173","11.323327","192.168.1.69","239.255.255.250","SSDP","479","NOTIFY * HTTP/1.1 "
"174","11.323327","192.168.1.69","239.255.255.250","SSDP","483","NOTIFY * HTTP/1.1 "
"175","11.343607","192.168.1.163","35.83.96.132","TCP","54","49999  >  443 [ACK] Seq=47 Ack=47 Win=259 Len=0"
"176","11.540144","192.168.1.163","192.168.1.255","UDP","305","54915  >  54915 Len=263"
"177","11.945558","192.168.1.16","224.0.0.251","MDNS","423","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush iPhone-di-Alessandro.local OPT"
"178","11.946109","fe80::187d:cdd4:cfa1:436a","ff02::fb","MDNS","443","Standard query response 0x0000 TXT, cache flush PTR _rdlink._tcp.local PTR iPhone di Alessandro._rdlink._tcp.local TXT SRV, cache flush 0 0 49154 iPhone-di-Alessandro.local AAAA, cache flush fe80::187d:cdd4:cfa1:436a A, cache flush 192.168.1.16 NSEC, cache flush iPhone di Alessandro._rdlink._tcp.local NSEC, cache flush iPhone-di-Alessandro.local OPT"
"179","12.374998","192.168.1.163","157.240.231.15","TLSv1.2","86","Application Data"
